query,intent
What is the service charge for Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
How much does Differently Abled Pension Scheme(DAPS) cost?,Differently Abled Pension Scheme(DAPS)
What is the fee for Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
Tell me the price of Differently Abled Pension Scheme(DAPS).,Differently Abled Pension Scheme(DAPS)
What documents are needed for Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
Which documents are required for Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
What do I need to apply for Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
Where can I get information about Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
I need help with Differently Abled Pension Scheme(DAPS).,Differently Abled Pension Scheme(DAPS)
I want information about Differently Abled Pension Scheme(DAPS).,Differently Abled Pension Scheme(DAPS)
Can you tell me about Differently Abled Pension Scheme(DAPS)?,Differently Abled Pension Scheme(DAPS)
How can I apply for Electricity Bill Payment?,Electricity Bill Payment
I want to apply for Electricity Bill Payment.,Electricity Bill Payment
How do I get Electricity Bill Payment?,Electricity Bill Payment
Where can I apply for Electricity Bill Payment?,Electricity Bill Payment
How can I obtain Electricity Bill Payment?,Electricity Bill Payment
I need Electricity Bill Payment. What is the procedure?,Electricity Bill Payment
What is the process for Electricity Bill Payment?,Electricity Bill Payment
Can I get Electricity Bill Payment through e-Sevai?,Electricity Bill Payment
Is Electricity Bill Payment available at an e-Sevai Centre?,Electricity Bill Payment
What is the service charge for Electricity Bill Payment?,Electricity Bill Payment
How much does Electricity Bill Payment cost?,Electricity Bill Payment
What is the fee for Electricity Bill Payment?,Electricity Bill Payment
Tell me the price of Electricity Bill Payment.,Electricity Bill Payment
What documents are needed for Electricity Bill Payment?,Electricity Bill Payment
Which documents are required for Electricity Bill Payment?,Electricity Bill Payment
What do I need to apply for Electricity Bill Payment?,Electricity Bill Payment
Where can I get information about Electricity Bill Payment?,Electricity Bill Payment
I need help with Electricity Bill Payment.,Electricity Bill Payment
I want information about Electricity Bill Payment.,Electricity Bill Payment
Can you tell me about Electricity Bill Payment?,Electricity Bill Payment
How much is the e-Sevai charge for an electricity bill?,Electricity Bill Payment
What is the service fee for paying an electricity bill?,Electricity Bill Payment
I want to pay my electricity bill through e-Sevai.,Electricity Bill Payment
How much do I pay at e-Sevai for a 4000 rupee electricity bill?,Electricity Bill Payment
How can I apply for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
I want to apply for PDS Aadhaar Enrollment.,PDS Aadhaar Enrollment
How do I get PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
Where can I apply for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
How can I obtain PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
I need PDS Aadhaar Enrollment. What is the procedure?,PDS Aadhaar Enrollment
What is the process for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
Can I get PDS Aadhaar Enrollment through e-Sevai?,PDS Aadhaar Enrollment
Is PDS Aadhaar Enrollment available at an e-Sevai Centre?,PDS Aadhaar Enrollment
What is the service charge for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
How much does PDS Aadhaar Enrollment cost?,PDS Aadhaar Enrollment
What is the fee for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
Tell me the price of PDS Aadhaar Enrollment.,PDS Aadhaar Enrollment
What documents are needed for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
Which documents are required for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
What do I need to apply for PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
Where can I get information about PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
I need help with PDS Aadhaar Enrollment.,PDS Aadhaar Enrollment
I want information about PDS Aadhaar Enrollment.,PDS Aadhaar Enrollment
Can you tell me about PDS Aadhaar Enrollment?,PDS Aadhaar Enrollment
How can I apply for Apply for New Card?,Apply for New Card
I want to apply for Apply for New Card.,Apply for New Card
How do I get Apply for New Card?,Apply for New Card
Where can I apply for Apply for New Card?,Apply for New Card
How can I obtain Apply for New Card?,Apply for New Card
I need Apply for New Card. What is the procedure?,Apply for New Card
What is the process for Apply for New Card?,Apply for New Card
Can I get Apply for New Card through e-Sevai?,Apply for New Card
Is Apply for New Card available at an e-Sevai Centre?,Apply for New Card
What is the service charge for Apply for New Card?,Apply for New Card
How much does Apply for New Card cost?,Apply for New Card
What is the fee for Apply for New Card?,Apply for New Card
Tell me the price of Apply for New Card.,Apply for New Card
What documents are needed for Apply for New Card?,Apply for New Card
Which documents are required for Apply for New Card?,Apply for New Card
What do I need to apply for Apply for New Card?,Apply for New Card
Where can I get information about Apply for New Card?,Apply for New Card
I need help with Apply for New Card.,Apply for New Card
I want information about Apply for New Card.,Apply for New Card
Can you tell me about Apply for New Card?,Apply for New Card
How do I apply for a new ration card?,Apply for New Card
I need a new family card.,Apply for New Card
How can I get a new ration card through e-Sevai?,Apply for New Card
What is the charge for a new ration card application?,Apply for New Card
How can I apply for Card Mutation?,Card Mutation
I want to apply for Card Mutation.,Card Mutation
How do I get Card Mutation?,Card Mutation
Where can I apply for Card Mutation?,Card Mutation
How can I obtain Card Mutation?,Card Mutation
I need Card Mutation. What is the procedure?,Card Mutation
What is the process for Card Mutation?,Card Mutation
Can I get Card Mutation through e-Sevai?,Card Mutation
Is Card Mutation available at an e-Sevai Centre?,Card Mutation
What is the service charge for Card Mutation?,Card Mutation
How much does Card Mutation cost?,Card Mutation
What is the fee for Card Mutation?,Card Mutation
Tell me the price of Card Mutation.,Card Mutation
What documents are needed for Card Mutation?,Card Mutation
Which documents are required for Card Mutation?,Card Mutation
What do I need to apply for Card Mutation?,Card Mutation
Where can I get information about Card Mutation?,Card Mutation
I need help with Card Mutation.,Card Mutation
I want information about Card Mutation.,Card Mutation
Can you tell me about Card Mutation?,Card Mutation
How can I change details in my ration card?,Card Mutation
I want to update my ration card.,Card Mutation
How do I apply for ration card mutation?,Card Mutation
What is the fee for ration card mutation?,Card Mutation
How can I apply for Printing of Smart Card?,Printing of Smart Card
I want to apply for Printing of Smart Card.,Printing of Smart Card
How do I get Printing of Smart Card?,Printing of Smart Card
Where can I apply for Printing of Smart Card?,Printing of Smart Card
How can I obtain Printing of Smart Card?,Printing of Smart Card
I need Printing of Smart Card. What is the procedure?,Printing of Smart Card
What is the process for Printing of Smart Card?,Printing of Smart Card
Can I get Printing of Smart Card through e-Sevai?,Printing of Smart Card
Is Printing of Smart Card available at an e-Sevai Centre?,Printing of Smart Card
What is the service charge for Printing of Smart Card?,Printing of Smart Card
How much does Printing of Smart Card cost?,Printing of Smart Card
What is the fee for Printing of Smart Card?,Printing of Smart Card
Tell me the price of Printing of Smart Card.,Printing of Smart Card
What documents are needed for Printing of Smart Card?,Printing of Smart Card
Which documents are required for Printing of Smart Card?,Printing of Smart Card
What do I need to apply for Printing of Smart Card?,Printing of Smart Card
Where can I get information about Printing of Smart Card?,Printing of Smart Card
I need help with Printing of Smart Card.,Printing of Smart Card
I want information about Printing of Smart Card.,Printing of Smart Card
Can you tell me about Printing of Smart Card?,Printing of Smart Card
How can I print my smart card?,Printing of Smart Card
I need a printed smart card.,Printing of Smart Card
Can I get smart card printing at e-Sevai?,Printing of Smart Card
What is the smart card printing charge?,Printing of Smart Card
How can I apply for CRS-Death Registration?,CRS-Death Registration
I want to apply for CRS-Death Registration.,CRS-Death Registration
How do I get CRS-Death Registration?,CRS-Death Registration
Where can I apply for CRS-Death Registration?,CRS-Death Registration
How can I obtain CRS-Death Registration?,CRS-Death Registration
I need CRS-Death Registration. What is the procedure?,CRS-Death Registration
What is the process for CRS-Death Registration?,CRS-Death Registration
Can I get CRS-Death Registration through e-Sevai?,CRS-Death Registration
Is CRS-Death Registration available at an e-Sevai Centre?,CRS-Death Registration
What is the service charge for CRS-Death Registration?,CRS-Death Registration
How much does CRS-Death Registration cost?,CRS-Death Registration
What is the fee for CRS-Death Registration?,CRS-Death Registration
Tell me the price of CRS-Death Registration.,CRS-Death Registration
What documents are needed for CRS-Death Registration?,CRS-Death Registration
Which documents are required for CRS-Death Registration?,CRS-Death Registration
What do I need to apply for CRS-Death Registration?,CRS-Death Registration
Where can I get information about CRS-Death Registration?,CRS-Death Registration
I need help with CRS-Death Registration.,CRS-Death Registration
I want information about CRS-Death Registration.,CRS-Death Registration
Can you tell me about CRS-Death Registration?,CRS-Death Registration
How can I register a death?,CRS-Death Registration
I need to register a death.,CRS-Death Registration
Where can I apply for death registration?,CRS-Death Registration
What is the death registration service charge?,CRS-Death Registration
How can I apply for Printing of Birth Certificate?,Printing of Birth Certificate
I want to apply for Printing of Birth Certificate.,Printing of Birth Certificate
How do I get Printing of Birth Certificate?,Printing of Birth Certificate
Where can I apply for Printing of Birth Certificate?,Printing of Birth Certificate
How can I obtain Printing of Birth Certificate?,Printing of Birth Certificate
I need Printing of Birth Certificate. What is the procedure?,Printing of Birth Certificate
What is the process for Printing of Birth Certificate?,Printing of Birth Certificate
Can I get Printing of Birth Certificate through e-Sevai?,Printing of Birth Certificate
Is Printing of Birth Certificate available at an e-Sevai Centre?,Printing of Birth Certificate
What is the service charge for Printing of Birth Certificate?,Printing of Birth Certificate
How much does Printing of Birth Certificate cost?,Printing of Birth Certificate
What is the fee for Printing of Birth Certificate?,Printing of Birth Certificate
Tell me the price of Printing of Birth Certificate.,Printing of Birth Certificate
What documents are needed for Printing of Birth Certificate?,Printing of Birth Certificate
Which documents are required for Printing of Birth Certificate?,Printing of Birth Certificate
What do I need to apply for Printing of Birth Certificate?,Printing of Birth Certificate
Where can I get information about Printing of Birth Certificate?,Printing of Birth Certificate
I need help with Printing of Birth Certificate.,Printing of Birth Certificate
I want information about Printing of Birth Certificate.,Printing of Birth Certificate
Can you tell me about Printing of Birth Certificate?,Printing of Birth Certificate
How can I get a printed birth certificate?,Printing of Birth Certificate
I need a copy of my birth certificate.,Printing of Birth Certificate
Where can I print my birth certificate?,Printing of Birth Certificate
What is the birth certificate printing fee?,Printing of Birth Certificate
How can I apply for Printing of Death Certificate?,Printing of Death Certificate
I want to apply for Printing of Death Certificate.,Printing of Death Certificate
How do I get Printing of Death Certificate?,Printing of Death Certificate
Where can I apply for Printing of Death Certificate?,Printing of Death Certificate
How can I obtain Printing of Death Certificate?,Printing of Death Certificate
I need Printing of Death Certificate. What is the procedure?,Printing of Death Certificate
What is the process for Printing of Death Certificate?,Printing of Death Certificate
Can I get Printing of Death Certificate through e-Sevai?,Printing of Death Certificate
Is Printing of Death Certificate available at an e-Sevai Centre?,Printing of Death Certificate
What is the service charge for Printing of Death Certificate?,Printing of Death Certificate
How much does Printing of Death Certificate cost?,Printing of Death Certificate
What is the fee for Printing of Death Certificate?,Printing of Death Certificate
Tell me the price of Printing of Death Certificate.,Printing of Death Certificate
What documents are needed for Printing of Death Certificate?,Printing of Death Certificate
Which documents are required for Printing of Death Certificate?,Printing of Death Certificate
What do I need to apply for Printing of Death Certificate?,Printing of Death Certificate
Where can I get information about Printing of Death Certificate?,Printing of Death Certificate
I need help with Printing of Death Certificate.,Printing of Death Certificate
I want information about Printing of Death Certificate.,Printing of Death Certificate
Can you tell me about Printing of Death Certificate?,Printing of Death Certificate
How can I get a death certificate copy?,Printing of Death Certificate
I need a printed death certificate.,Printing of Death Certificate
Where can I print a death certificate?,Printing of Death Certificate
What is the death certificate printing charge?,Printing of Death Certificate
How can I apply for Printing of registration ID?,Printing of registration ID
I want to apply for Printing of registration ID.,Printing of registration ID
How do I get Printing of registration ID?,Printing of registration ID
Where can I apply for Printing of registration ID?,Printing of registration ID
How can I obtain Printing of registration ID?,Printing of registration ID
I need Printing of registration ID. What is the procedure?,Printing of registration ID
What is the process for Printing of registration ID?,Printing of registration ID
Can I get Printing of registration ID through e-Sevai?,Printing of registration ID
Is Printing of registration ID available at an e-Sevai Centre?,Printing of registration ID
What is the service charge for Printing of registration ID?,Printing of registration ID
How much does Printing of registration ID cost?,Printing of registration ID
What is the fee for Printing of registration ID?,Printing of registration ID
Tell me the price of Printing of registration ID.,Printing of registration ID
What documents are needed for Printing of registration ID?,Printing of registration ID
Which documents are required for Printing of registration ID?,Printing of registration ID
What do I need to apply for Printing of registration ID?,Printing of registration ID
Where can I get information about Printing of registration ID?,Printing of registration ID
I need help with Printing of registration ID.,Printing of registration ID
I want information about Printing of registration ID.,Printing of registration ID
Can you tell me about Printing of registration ID?,Printing of registration ID
How can I print my employment registration ID?,Printing of registration ID
I need a copy of my registration ID.,Printing of registration ID
Where can I print my employment registration ID?,Printing of registration ID
What is the registration ID printing fee?,Printing of registration ID
How can I apply for Application for Renewal?,Application for Renewal
I want to apply for Application for Renewal.,Application for Renewal
How do I get Application for Renewal?,Application for Renewal
Where can I apply for Application for Renewal?,Application for Renewal
How can I obtain Application for Renewal?,Application for Renewal
I need Application for Renewal. What is the procedure?,Application for Renewal
What is the process for Application for Renewal?,Application for Renewal
Can I get Application for Renewal through e-Sevai?,Application for Renewal
Is Application for Renewal available at an e-Sevai Centre?,Application for Renewal
What is the service charge for Application for Renewal?,Application for Renewal
How much does Application for Renewal cost?,Application for Renewal
What is the fee for Application for Renewal?,Application for Renewal
Tell me the price of Application for Renewal.,Application for Renewal
What documents are needed for Application for Renewal?,Application for Renewal
Which documents are required for Application for Renewal?,Application for Renewal
What do I need to apply for Application for Renewal?,Application for Renewal
Where can I get information about Application for Renewal?,Application for Renewal
I need help with Application for Renewal.,Application for Renewal
I want information about Application for Renewal.,Application for Renewal
Can you tell me about Application for Renewal?,Application for Renewal
How can I renew my employment registration?,Application for Renewal
I need to renew my employment registration.,Application for Renewal
Where can I apply for employment renewal?,Application for Renewal
What is the employment renewal charge?,Application for Renewal
How can I apply for Application for profile updation?,Application for profile updation
I want to apply for Application for profile updation.,Application for profile updation
How do I get Application for profile updation?,Application for profile updation
Where can I apply for Application for profile updation?,Application for profile updation
How can I obtain Application for profile updation?,Application for profile updation
I need Application for profile updation. What is the procedure?,Application for profile updation
What is the process for Application for profile updation?,Application for profile updation
Can I get Application for profile updation through e-Sevai?,Application for profile updation
Is Application for profile updation available at an e-Sevai Centre?,Application for profile updation
What is the service charge for Application for profile updation?,Application for profile updation
How much does Application for profile updation cost?,Application for profile updation
What is the fee for Application for profile updation?,Application for profile updation
Tell me the price of Application for profile updation.,Application for profile updation
What documents are needed for Application for profile updation?,Application for profile updation
Which documents are required for Application for profile updation?,Application for profile updation
What do I need to apply for Application for profile updation?,Application for profile updation
Where can I get information about Application for profile updation?,Application for profile updation
I need help with Application for profile updation.,Application for profile updation
I want information about Application for profile updation.,Application for profile updation
Can you tell me about Application for profile updation?,Application for profile updation
How can I update my employment profile?,Application for profile updation
I want to change my employment profile details.,Application for profile updation
How do I update my employment registration profile?,Application for profile updation
What is the charge for profile updation?,Application for profile updation
How can I apply for Application for Registration?,Application for Registration
I want to apply for Application for Registration.,Application for Registration
How do I get Application for Registration?,Application for Registration
Where can I apply for Application for Registration?,Application for Registration
How can I obtain Application for Registration?,Application for Registration
I need Application for Registration. What is the procedure?,Application for Registration
What is the process for Application for Registration?,Application for Registration
Can I get Application for Registration through e-Sevai?,Application for Registration
Is Application for Registration available at an e-Sevai Centre?,Application for Registration
What is the service charge for Application for Registration?,Application for Registration
How much does Application for Registration cost?,Application for Registration
What is the fee for Application for Registration?,Application for Registration
Tell me the price of Application for Registration.,Application for Registration
What documents are needed for Application for Registration?,Application for Registration
Which documents are required for Application for Registration?,Application for Registration
What do I need to apply for Application for Registration?,Application for Registration
Where can I get information about Application for Registration?,Application for Registration
I need help with Application for Registration.,Application for Registration
I want information about Application for Registration.,Application for Registration
Can you tell me about Application for Registration?,Application for Registration
How can I register with the employment service?,Application for Registration
I want to register for employment.,Application for Registration
How do I apply for employment registration?,Application for Registration
What is the employment registration fee?,Application for Registration
What is CAN?,what_is_CAN
What does CAN mean in e-Sevai?,what_is_CAN
What is Citizen Access Number?,what_is_CAN
Why do I need a CAN number?,what_is_CAN
Tell me about CAN.,what_is_CAN
What is a Citizen Access Number?,what_is_CAN
Why is CAN required?,what_is_CAN
What is CAN used for?,what_is_CAN
Do I need CAN for e-Sevai services?,what_is_CAN
Explain CAN in e-Sevai.,what_is_CAN
How can I create a CAN?,how_to_create_CAN
How do I get a Citizen Access Number?,how_to_create_CAN
How can I register for CAN?,how_to_create_CAN
Where can I create my CAN?,how_to_create_CAN
I need a new CAN number.,how_to_create_CAN
How do I obtain CAN?,how_to_create_CAN
How can I get CAN for e-Sevai?,how_to_create_CAN
Tell me how to create a CAN.,how_to_create_CAN
What is the procedure to create CAN?,how_to_create_CAN
How do I register for a Citizen Access Number?,how_to_create_CAN
How long is CAN valid?,CAN_validity
Does CAN expire?,CAN_validity
What is the validity of CAN?,CAN_validity
Will my CAN expire?,CAN_validity
How many years is CAN valid?,CAN_validity
Is CAN valid for lifetime?,CAN_validity
Do I need to renew my CAN?,CAN_validity
When does CAN expire?,CAN_validity
Is Citizen Access Number permanent?,CAN_validity
Does my CAN need renewal?,CAN_validity
I forgot my CAN.,forgotten_CAN
How can I find my CAN number?,forgotten_CAN
I don't remember my CAN.,forgotten_CAN
Where can I search for my CAN?,forgotten_CAN
I lost my CAN number.,forgotten_CAN
How do I recover my CAN?,forgotten_CAN
Can I find CAN using my mobile number?,forgotten_CAN
I cannot remember my Citizen Access Number.,forgotten_CAN
How can I retrieve my CAN?,forgotten_CAN
I forgot my Citizen Access Number.,forgotten_CAN
How do I register on e-Sevai?,registration
How can I create an e-Sevai account?,registration
I want to register as a new user.,registration
Where can I register for e-Sevai?,registration
How do I create a new e-Sevai account?,registration
What is the registration process?,registration
How can I become an e-Sevai citizen user?,registration
I need help with e-Sevai registration.,registration
What details are needed for registration?,registration
How do I sign up for e-Sevai?,registration
How do I login to e-Sevai?,login
